Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15238721,4,"Tuesday, October 30, 2012 19:17:38 UTC",34.3342,-116.8480,1.1,0.00,72,"Southern California"
nc,71872005,2,"Tuesday, October 30, 2012 19:00:20 UTC",37.4780,-118.7480,1.0,15.60,30,"Central California"
hv,60423906,2,"Tuesday, October 30, 2012 18:51:02 UTC",19.3798,-155.2845,1.7,3.00,13,"Island of Hawaii, Hawaii"
ak,10590510,1,"Tuesday, October 30, 2012 18:19:04 UTC",60.8120,-147.0283,1.3,19.60, 6,"Southern Alaska"
ak,10590501,1,"Tuesday, October 30, 2012 18:04:35 UTC",61.6184,-140.6689,3.2,16.50,24,"Southern Yukon Territory, Canada"
us,b000djt5,4,"Tuesday, October 30, 2012 17:55:12 UTC",35.5023,-97.2701,2.7,5.00, 0,"Oklahoma"
ci,15238665,4,"Tuesday, October 30, 2012 17:46:36 UTC",32.0230,-115.0135,2.4,10.00,16,"Baja California, Mexico"
ci,15238649,3,"Tuesday, October 30, 2012 17:39:31 UTC",33.3812,-116.8412,1.2,7.50,83,"Southern California"
ci,15238641,3,"Tuesday, October 30, 2012 17:35:53 UTC",33.3792,-116.8493,2.5,6.60,153,"Southern California"
us,b000dhj7,8,"Tuesday, October 30, 2012 17:33:29 UTC",52.5675,-132.3119,4.0,1.10,73,"Queen Charlotte Islands, Canada region"
ci,15238609,2,"Tuesday, October 30, 2012 17:30:14 UTC",33.6342,-116.7513,2.6,16.40,27,"Southern California"
nc,71871955,6,"Tuesday, October 30, 2012 17:25:59 UTC",37.4987,-118.5345,2.7,14.50,49,"Central California"
nc,71871950,1,"Tuesday, October 30, 2012 17:25:39 UTC",37.5008,-118.5327,1.7,13.30,23,"Central California"
us,2012hia6,5,"Tuesday, October 30, 2012 16:56:48 UTC",14.4576,146.8266,4.5,40.70,23,"Rota region, Northern Mariana Islands"
ak,10590235,1,"Tuesday, October 30, 2012 16:53:27 UTC",61.8153,-150.9426,1.9,58.20, 8,"Southern Alaska"
uu,60003312,2,"Tuesday, October 30, 2012 16:51:12 UTC",44.6170,-110.3638,1.4,4.00,10,"Yellowstone National Park, Wyoming"
ak,10590230,1,"Tuesday, October 30, 2012 16:46:55 UTC",62.1758,-150.2605,1.7,46.90, 6,"Central Alaska"
ci,15238529,2,"Tuesday, October 30, 2012 16:32:38 UTC",35.9520,-117.6738,1.4,2.20,48,"Central California"
